subject_id,desktop_id,team,session,date,accuracy,f1_score,num_trials,team_session_count,color
0823_1400_9M4VCHG,9M4VCHG,Team 15,Session 3,08/23/2021,1.0,1.0,132,2.0,orange
0917_1030_9M4VCHG,9M4VCHG,Team 22,Session 2,09/17/2021,1.0,1.0,129,2.0,orange
0930_1700_539136F,539136F,Team 25,Session 2,09/30/2021,1.0,1.0,190,2.0,orange
0831_1000_U9TEJGM,U9TEJGM,Team 20,Session 2,08/31/2021,0.9696969696969697,0.9547785547785548,132,2.0,orange
0924_1000_9M4VCHG,9M4VCHG,,,09/24/2021,0.9692307692307692,0.9766788766788767,130,,gray
0923_1000_539136F,539136F,Team 23,Session 3,09/23/2021,0.9618320610687023,0.948574849787243,131,2.0,orange
0826_1000_539136F,539136F,Team 17,Session 3,08/26/2021,0.9545454545454546,0.9619450317124735,132,3.0,green
0915_1000_9M4VCHG,9M4VCHG,Team 22,Session 1,09/15/2021,0.9465648854961832,0.948887309886063,131,2.0,orange
0923_1000_9M4VCHG,9M4VCHG,Team 23,Session 3,09/23/2021,0.9389312977099237,0.9093586584119733,131,2.0,orange
1005_1600_U9TEJGM,U9TEJGM,Team 26,Session 3,10/05/2021,0.9019607843137255,0.9484536082474226,102,2.0,orange
0901_1000_U9TEJGM,U9TEJGM,Team 20,Session 3,09/01/2021,0.9015151515151515,0.8737495436290618,132,2.0,orange
0924_1600_539136F,539136F,Team 24,Session 3,09/24/2021,0.8983050847457628,0.8798493408662899,59,3.0,green
0901_1300_539136F,539136F,Team 21,Session 3,09/01/2021,0.896551724137931,0.8943626396243007,116,3.0,green
0825_1000_539136F,539136F,Team 17,Session 2,08/25/2021,0.8918918918918919,0.8590355060943297,37,3.0,green
0831_1300_539136F,539136F,Team 21,Session 2,08/31/2021,0.8615384615384616,0.8317813765182187,130,3.0,green
0816_1400_539136F,539136F,Team 12,Session 3,08/16/2021,0.8604651162790697,0.8665405585846223,129,2.0,orange
0828_1300_U9TEJGM,U9TEJGM,Team 16,Session 3,08/28/2021,0.8513513513513513,0.8395078004834101,74,2.0,orange
0928_1600_U9TEJGM,U9TEJGM,Team 26,Session 1,09/28/2021,0.8494623655913979,0.8521947267638827,186,2.0,orange
0922_1000_539136F,539136F,Team 23,Session 2,09/22/2021,0.8373983739837398,0.8000602228244506,123,2.0,orange
0922_1000_9M4VCHG,9M4VCHG,Team 23,Session 2,09/22/2021,0.8294573643410853,0.8103259789306301,129,2.0,orange
0827_1000_539136F,539136F,Team 16,Session 2,08/27/2021,0.828125,0.7767600574712644,128,2.0,orange
0819_1400_U9TEJGM,U9TEJGM,Team 15,Session 1,08/19/2021,0.813953488372093,0.7977523088906198,129,2.0,orange
1005_1600_539136F,539136F,Team 26,Session 3,10/05/2021,0.8016528925619835,0.7701298701298701,242,2.0,orange
1005_1600_9M4VCHG,9M4VCHG,Team 26,Session 3,10/05/2021,0.7886178861788617,0.7811025004939518,246,2.0,orange
0827_1000_U9TEJGM,U9TEJGM,Team 16,Session 2,08/27/2021,0.7704918032786885,0.7612664738026358,122,2.0,orange
0811_1000_539136F,539136F,,,08/11/2021,0.7615384615384615,0.7068815628815629,130,,gray
0924_1000_U9TEJGM,U9TEJGM,,,09/24/2021,0.7583333333333333,0.6690748060313277,120,,gray
0818_1600_9M4VCHG,9M4VCHG,Team 7,Session 3,08/18/2021,0.7555555555555555,0.7311269738265196,90,1.0,red
0824_1000_539136F,539136F,Team 17,Session 1,08/24/2021,0.7480916030534351,0.6873643536757179,131,3.0,green
0813_1600_539136F,539136F,Team 12,Session 2,08/13/2021,0.7419354838709677,0.7218039662403561,124,2.0,orange
0923_1600_539136F,539136F,Team 24,Session 2,09/23/2021,0.7355371900826446,0.6444411203769492,121,3.0,green
0813_1600_U9TEJGM,U9TEJGM,Team 12,Session 2,08/13/2021,0.7317073170731707,0.753837083565016,123,2.0,orange
0817_1000_U9TEJGM,U9TEJGM,Team 14,Session 2,08/17/2021,0.7310924369747899,0.6901112802441075,119,1.0,red
0830_1300_539136F,539136F,Team 21,Session 1,08/30/2021,0.7301587301587301,0.6895489548954896,126,3.0,green
0811_1000_U9TEJGM,U9TEJGM,,,08/11/2021,0.7175572519083969,0.6576426936756855,131,,gray
0923_1000_U9TEJGM,U9TEJGM,Team 23,Session 3,09/23/2021,0.7109375,0.6730351500789888,128,2.0,orange
0927_0930_539136F,539136F,Team 25,Session 1,09/27/2021,0.7099236641221374,0.6255439823071984,131,2.0,orange
0928_1600_9M4VCHG,9M4VCHG,Team 26,Session 1,09/28/2021,0.7094017094017094,0.6556546901374488,234,2.0,orange
0831_1300_9M4VCHG,9M4VCHG,Team 21,Session 2,08/31/2021,0.7058823529411765,0.5923799128364537,119,3.0,green
0924_1000_539136F,539136F,,,09/24/2021,0.703125,0.5870126146788991,128,,gray
0830_1300_9M4VCHG,9M4VCHG,Team 21,Session 1,08/30/2021,0.7022900763358778,0.6000351778238998,131,3.0,green
0922_1000_U9TEJGM,U9TEJGM,Team 23,Session 2,09/22/2021,0.6909090909090909,0.6654656319290466,110,2.0,orange
0824_1600_U9TEJGM,U9TEJGM,Team 19,Session 1,08/24/2021,0.6859504132231405,0.6023524753056092,121,1.0,red
0825_1300_9M4VCHG,9M4VCHG,Team 18,Session 2,08/25/2021,0.680672268907563,0.633967076566697,119,2.0,orange
0811_1000_4LI8GO7,4LI8GO7,,,08/11/2021,0.6776859504132231,0.6654164085023381,121,,gray
0813_1000_9M4VCHG,9M4VCHG,Team 10,Session 3,08/13/2021,0.6747967479674797,0.6468141425600302,123,1.0,red
0917_1030_U9TEJGM,U9TEJGM,Team 22,Session 2,09/17/2021,0.6744186046511628,0.5861731521989408,129,2.0,orange
0806_1000_539136F,539136F,Team 8,Session 3,08/06/2021,0.6694915254237288,0.647809393180217,118,1.0,red
0831_1000_9M4VCHG,9M4VCHG,Team 20,Session 2,08/31/2021,0.6582278481012658,0.6056681976027781,79,2.0,orange
0824_1000_U9TEJGM,U9TEJGM,Team 17,Session 1,08/24/2021,0.6578947368421053,0.5920393897278782,114,3.0,green
0920_1600_539136F,539136F,Team 24,Session 1,09/20/2021,0.65625,0.5846938775510204,128,3.0,green
0930_1700_U9TEJGM,U9TEJGM,Team 25,Session 2,09/30/2021,0.6504065040650406,0.6121628516159506,246,2.0,orange
0924_1600_U9TEJGM,U9TEJGM,Team 24,Session 3,09/24/2021,0.6422764227642277,0.5356893977103035,123,3.0,green
0817_1000_9M4VCHG,9M4VCHG,Team 14,Session 2,08/17/2021,0.6412213740458015,0.54302601186106,131,1.0,red
0831_1000_539136F,539136F,Team 20,Session 2,08/31/2021,0.6412213740458015,0.5986890855492397,131,2.0,orange
0818_1600_539136F,539136F,Team 7,Session 3,08/18/2021,0.6363636363636364,0.5096978493204908,132,1.0,red
0920_1600_9M4VCHG,9M4VCHG,Team 24,Session 1,09/20/2021,0.6328125,0.5303614062634432,128,3.0,green
0825_1300_539136F,539136F,Team 18,Session 2,08/25/2021,0.6290322580645161,0.48578728840626,124,2.0,orange
0917_1030_539136F,539136F,Team 22,Session 2,09/17/2021,0.6259541984732825,0.48783284951438916,131,2.0,orange
0930_1700_9M4VCHG,9M4VCHG,Team 25,Session 2,09/30/2021,0.625,0.5341379310344827,224,2.0,orange
0830_1300_U9TEJGM,U9TEJGM,Team 21,Session 1,08/30/2021,0.6201550387596899,0.5329526881521098,129,3.0,green
0816_1400_U9TEJGM,U9TEJGM,Team 12,Session 3,08/16/2021,0.616,0.5973438735177865,125,2.0,orange
0813_1600_9M4VCHG,9M4VCHG,Team 12,Session 2,08/13/2021,0.6153846153846154,0.5259042033235583,130,2.0,orange
0901_1000_9M4VCHG,9M4VCHG,Team 20,Session 3,09/01/2021,0.6129032258064516,0.5250514756348662,124,2.0,orange
0923_1600_U9TEJGM,U9TEJGM,Team 24,Session 2,09/23/2021,0.609375,0.49984761407175204,128,3.0,green
0826_1300_539136F,539136F,Team 18,Session 3,08/26/2021,0.6060606060606061,0.4631217838765009,132,2.0,orange
0806_1000_U9TEJGM,U9TEJGM,Team 8,Session 3,08/06/2021,0.6030534351145038,0.49933672289179387,131,1.0,red
0901_1000_539136F,539136F,Team 20,Session 3,09/01/2021,0.592,0.5254372294372295,125,2.0,orange
0827_1000_9M4VCHG,9M4VCHG,Team 16,Session 2,08/27/2021,0.5877862595419847,0.45738795253571163,131,2.0,orange
0823_1400_U9TEJGM,U9TEJGM,Team 15,Session 3,08/23/2021,0.5853658536585366,0.4484833006350054,123,2.0,orange
0825_1300_U9TEJGM,U9TEJGM,Team 18,Session 2,08/25/2021,0.5842696629213483,0.5632648061084394,89,2.0,orange
0813_1000_U9TEJGM,U9TEJGM,Team 10,Session 3,08/13/2021,0.578125,0.5043585526315789,128,1.0,red
0831_1300_U9TEJGM,U9TEJGM,Team 21,Session 2,08/31/2021,0.5736434108527132,0.5020588217298997,129,3.0,green
0817_1000_539136F,539136F,Team 14,Session 2,08/17/2021,0.5725190839694656,0.4871501272264631,131,1.0,red
0923_1600_9M4VCHG,9M4VCHG,Team 24,Session 2,09/23/2021,0.5692307692307692,0.42851282051282047,130,3.0,green
0818_1600_U9TEJGM,U9TEJGM,Team 7,Session 3,08/18/2021,0.5681818181818182,0.46245679446438404,132,1.0,red
0826_1300_9M4VCHG,9M4VCHG,Team 18,Session 3,08/26/2021,0.5619834710743802,0.48626515210346843,121,2.0,orange
0824_1600_539136F,539136F,Team 19,Session 1,08/24/2021,0.5572519083969466,0.47040516735173227,131,1.0,red
0920_1600_U9TEJGM,U9TEJGM,Team 24,Session 1,09/20/2021,0.5528455284552846,0.44410494215480106,123,3.0,green
0824_1000_9M4VCHG,9M4VCHG,Team 17,Session 1,08/24/2021,0.5514018691588785,0.4668152755917372,107,3.0,green
0826_1300_U9TEJGM,U9TEJGM,Team 18,Session 3,08/26/2021,0.5384615384615384,0.5021978021978022,78,2.0,orange
0819_1400_539136F,539136F,Team 15,Session 1,08/19/2021,0.5348837209302325,0.4119087047303622,129,2.0,orange
0927_0930_U9TEJGM,U9TEJGM,Team 25,Session 1,09/27/2021,0.5252525252525253,0.48647922721996795,198,2.0,orange
0824_1600_9M4VCHG,9M4VCHG,Team 19,Session 1,08/24/2021,0.515625,0.4281740608354359,128,1.0,red
0826_1000_9M4VCHG,9M4VCHG,Team 17,Session 3,08/26/2021,0.5039370078740157,0.390572295781463,127,3.0,green
0813_1000_539136F,539136F,Team 10,Session 3,08/13/2021,0.49612403100775193,0.41674789954973773,129,1.0,red
0901_1300_U9TEJGM,U9TEJGM,Team 21,Session 3,09/01/2021,0.484375,0.382421875,128,3.0,green
0915_1000_U9TEJGM,U9TEJGM,Team 22,Session 1,09/15/2021,0.47560975609756095,0.39968109608456864,82,2.0,orange
0819_1400_9M4VCHG,9M4VCHG,Team 15,Session 1,08/19/2021,0.46601941747572817,0.3680693137946653,103,2.0,orange
0924_1600_9M4VCHG,9M4VCHG,Team 24,Session 3,09/24/2021,0.4461538461538462,0.2839112064918517,130,3.0,green
0825_1000_9M4VCHG,9M4VCHG,Team 17,Session 2,08/25/2021,0.4444444444444444,0.37229437229437223,9,3.0,green
0823_1400_539136F,539136F,Team 15,Session 3,08/23/2021,0.4122137404580153,0.24510006189395506,131,2.0,orange
0915_1000_539136F,539136F,Team 22,Session 1,09/15/2021,0.4117647058823529,0.28961960525805575,119,2.0,orange
0901_1300_9M4VCHG,9M4VCHG,Team 21,Session 3,09/01/2021,0.3790322580645161,0.20835691378985097,124,3.0,green
0816_1400_9M4VCHG,9M4VCHG,Team 12,Session 3,08/16/2021,0.3790322580645161,0.3345021976953897,124,2.0,orange
0928_1600_539136F,539136F,Team 26,Session 1,09/28/2021,0.2727272727272727,0.14031066972243442,220,2.0,orange
0828_1300_9M4VCHG,9M4VCHG,Team 16,Session 3,08/28/2021,0.25663716814159293,0.12661041366536324,113,2.0,orange
